,word,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50
1040,railway,1.0,2.3862944,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,0,0,0,0,0
1041,station,1.0,2.3862944,2.609438,0,0,0,1.0,0,0,1.6931472,0,0,1.0,2.0986123,0,0,0,0,2.3862944,0,0,0,0,0,2.0986123,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,3.5649493,0,2.7917595,0,0,0,0,1.0,0,0
1042,ration,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,consist,0,2.0986123,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,necess,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,mercy—for,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,verdict,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,acquittal—cal,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,forth,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
1049,outburst,0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,dissatisfi,0,2.0986123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,reveng,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,feeling?,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,horror,0,1.6931472,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,1.6931472,0,0,0,0,0,0,1.0,2.0986123,0,0,0,1.0,0,0,0,0,0,1.0,1.6931472,0,0,0,0,1.0,0,0,0,0,1.0,1.0,0,0,0,0,0
1054,forehead,1.0,2.0986123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0986123,0,0,0,1.0,0,1.0,1.6931472,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,0,0,0
1055,complet,1.0,3.0794415,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0986123,0,0,1.0,0,0,1.6931472,1.0,0,0,1.0,0,1.0,0,0,2.0986123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,sinc,1.6931472,3.3978953,1.0,1.0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.6931472,0,1.0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0
1057,thought,3.3978953,4.912023,2.9459102,1.6931472,2.0986123,1.6931472,2.609438,2.609438,0,2.0986123,1.6931472,2.3862944,0,0,1.0,2.0986123,1.0,1.6931472,1.6931472,1.6931472,2.0986123,1.0,2.609438,1.6931472,3.8332133,1.0,1.6931472,2.3862944,1.0,1.6931472,1.6931472,1.0,1.6931472,2.3862944,0,1.6931472,1.0,1.6931472,2.3862944,0,1.0,1.0,2.3862944,0,1.0,1.0,0,1.6931472,1.6931472,0
1058,yesterday,0,2.9459102,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.6931472,0,0,1.0,1.6931472,1.0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,haunt,0,2.0986123,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,truth,1.0,2.9459102,1.0,0,0,0,0,1.6931472,1.6931472,1.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.6931472,0,0,0,0,0,0,0,0,2.609438,0,0,0,1.6931472,0
1061,ground,1.6931472,2.609438,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
1062,policeman,1.0,1.0,0,0,0,0,0,0,0,0,3.0794415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
1063,slowli,0,2.3862944,2.3862944,1.6931472,0,1.6931472,1.6931472,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.6931472,0,2.609438,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0
1064,pas,3.3025851,3.4849067,1.6931472,1.0,1.0,0,1.0,2.3862944,1.6931472,0,0,1.0,2.609438,1.0,1.0,0,2.0986123,0,1.0,0,0,1.0,2.7917595,1.0,2.9459102,2.0986123,1.0,0,0,1.0,1.0,1.0,2.3862944,1.6931472,0,1.0,1.0,0,1.0,0,1.0,1.0,0,0,1.0,0,0,1.0,0,0
1065,windows:,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,still,2.7917595,3.6390574,2.3862944,2.9459102,1.0,1.0,1.0,2.3862944,0,1.6931472,0,1.0,2.3862944,1.6931472,1.0,1.0,1.0,0,2.0986123,1.6931472,0,1.6931472,2.9459102,0,3.6390574,2.609438,2.609438,1.6931472,1.0,1.6931472,1.6931472,1.0,1.6931472,2.0986123,0,1.0,1.0,0,0,0,0,0,1.6931472,2.0986123,0,0,1.6931472,0,1.0,0
1067,silent,0,2.0986123,1.0,1.6931472,0,1.6931472,0,1.0,0,0,1.6931472,0,1.0,0,0,0,0,0,0,0,2.0986123,1.6931472,2.0986123,0,1.6931472,1.0,1.6931472,0,1.0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1068,whi,3.4849067,4.135494,2.609438,2.609438,1.6931472,1.6931472,2.609438,2.0986123,2.0986123,2.609438,1.6931472,2.3862944,1.6931472,1.0,2.0986123,2.0986123,1.0,1.0,2.3862944,2.609438,2.3862944,2.9459102,3.3978953,2.7917595,3.4849067,2.609438,1.0,0,1.0,1.0,2.0986123,0,2.609438,2.3862944,2.7917595,2.0986123,1.0,2.7917595,0,0,1.6931472,2.0986123,2.7917595,2.609438,1.0,0,0,2.3862944,2.3862944,1.0
1069,silent?,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1070,spi,0,2.3862944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,detect,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,midday,1.0,1.6931472,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
1073,pair,0,1.6931472,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,hors,4.637586,2.0986123,2.609438,1.6931472,0,1.6931472,1.6931472,1.0,1.0,0,1.0,0,1.6931472,0,0,0,0,0,0,0,1.0,0,1.0,2.0986123,0,1.6931472,1.0,0,0,0,0,1.0,0,1.0,1.6931472,0,0,0,0,0,0,1.0,3.3978953,0,0,0,0,0,0,0
1075,estat,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,1.0,0,0
1076,depart,0,2.0986123,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.3862944,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,1.0,0,0,1.0,1.6931472,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0
